Client Name,Client Code,Entry Date,Entered by ,Industry,Sub Industry,What do they do,Territory,Pursued Opportunity Value,Incorporation Type,Listed Company,Market Cap,Annual Revenue (QAR),Classification,Employee Strength,IT Employee Strength,Primary Relationship Holder,Secondary Relationship Holder (Pref Economic),Well entrenched,Details are upto date,Related Contacts,Lifetime Value,Priority,Action
reliance jio,RELGEO,"Aug 1, 2024",Praveen Gangadhar,"LT&T : Logistics, Travel and Transport",Green Energy,Top Telecom Provider India - Subsidiary of Reliance,Mumbai MMR,,Semi Government,Unlisted,Rs 200k Cr + (Large),400 Cr,Platinum (10B $+),1000,100,Priyanshu Jaj,Priyanshu Jaj,Well entrenched,Tick,Same as template,0,Low,
FutureLink,AIRIND,"Aug 2, 2024",shwin Gorle,MIC : Multi Industry Conglomorate,Utilities,Provides utils,Bangalore SCR,,Independent,Listed,Rs 200k Cr + (Large),300 Cr,Copper (100-500M $),800,600,Ashwin Gorle,Ashwin Gorle,Well entrenched,Tick,Same as template,0,Very High,
AetherMinds,RELGEO,"Aug 3, 2024",Priyanshu Jaj,MIC : Multi Industry Conglomorate,Technology,Latest tech ,Eastern Province Saudi,,Employee Owned,Unlisted,100-500M $,400 Cr,Platinum (10B $+),555,455,Priyanshu Jaj,Priyanshu Jaj,Well entrenched,Tick,Same as template,0,Low,
Tata Steel,AIRIND,"Aug 4, 2024",Praveen Gangadhar,NP&S : Not Profit and Services,Startups,Government based startup,Oman,,NGO,Listed,Rs 200k Cr + (Large),300 Cr,Platinum (10B $+),93,50,Ashwin Gorle,Ashwin Gorle,Well entrenched,Tick,Same as template,0,Very High,
Ekart,RELGEO,"Aug 5, 2024",Ashwin Gorle,"LT&T : Logistics, Travel and Transport",Others,have no idea,"Abu Dhabi, UAE",,Subsidiary,Unlisted,Rs 200k Cr + (Large),400 Cr,Nickel (Low Revenue),666,286,Priyanshu Jaj,Priyanshu Jaj,Well entrenched,Tick,Same as template,0,Low,
Amazon,AIRIND,"Aug 1, 2024",Priyanshu Jaj,MIC : Multi Industry Conglomorate,Telecom,Top Telecom Provider India,Mumbai MMR,,Independent,Listed,Rs 200k Cr + (Large),300 Cr,Platinum (10B $+),4000,460,Ashwin Gorle,Ashwin Gorle,Well entrenched,Tick,Same as template,0,Very High,
Tata Power,RELGEO,"Aug 2, 2024",Praveen Gangadhar,MIC : Multi Industry Conglomorate,Banking,Top Telecom Provider India - Subsidiary of Reliance,MMR,,Semi Government,Unlisted,Rs 200k Cr + (Large),400 Cr,Platinum (10B $+),500,90,Priyanshu Jaj,Priyanshu Jaj,Well entrenched,Tick,Same as template,0,Low,
RelianceFresh,AIRIND,"Aug 1, 2024",Ashwin Gorle,NP&S : Not Profit and Services,Entertainment,Conted Managers,"Riyadh, Saudi",,Independent,Listed,Rs 200k Cr + (Large),300 Cr,Copper (100-500M $),800,700,Ashwin Gorle,Ashwin Gorle,Well entrenched,Tick,Same as template,0,Very High,
A.B. Private Limited,RELGEO,"Aug 1, 2024",Priyanshu Jaj,"LT&T : Logistics, Travel and Transport",NBFS,Top Telecom Provider India - Subsidiary of Reliance,Mumbai MMR,,Employee Owned,Unlisted,100-500M $,400 Cr,Platinum (10B $+),700,650,Priyanshu Jaj,Priyanshu Jaj,Well entrenched,Tick,Same as template,0,Low,
Expo Evo,AIRIND,"Aug 1, 2024",Praveen Gangadhar,MIC : Multi Industry Conglomorate,Startups,Top Telecom Provider India,Bahrain,,Ministry,Listed,Rs 200k Cr + (Large),300 Cr,Platinum (10B $+),2000,900,Ashwin Gorle,Ashwin Gorle,Well entrenched,Tick,Same as template,0,Very High,
